,chain,chain_price,voter,rank,token,asset_value,voting_power,commission,jailed,record_time
1593792,celestia,4.7,bitcoinsuisse.com,1,33347803407690.0,156734676016143.0,0.08465,1.0,False,1699833600000
1593793,celestia,4.7,finoaconsensusservices,2,33014345119611.0,155167422062171.72,0.083804,0.1,False,1699833600000
1593794,celestia,4.7,go,3,32851699325244.0,154402986828646.8,0.083391,0.06,False,1699833600000
1593795,celestia,4.7,polychain,4,32332867967907.0,151964479449162.9,0.082074,0.2,False,1699833600000
1593796,celestia,4.7,unit410,5,30385089975143.0,142809922883172.1,0.07713,0.2,False,1699833600000
1593797,celestia,4.7,chorusone,6,21842555876730.0,102660012620631.0,0.055445,0.08,False,1699833600000
1593798,celestia,4.7,coinbasecloud,7,18263422495007.0,85838085726532.9,0.04636,0.1,False,1699833600000
1593799,celestia,4.7,p2p.org,8,18124042918955.0,85183001719088.5,0.046006,0.05,False,1699833600000
1593800,celestia,4.7,littledipper,9,12783829368114.0,60083998030135.805,0.032451,0.2,False,1699833600000
1593801,celestia,4.7,twinstake,10,9995964268336.0,46981032061179.2,0.025374,0.1,False,1699833600000
1593802,celestia,4.7,figment,11,7983102822660.0,37520583266502.0,0.020264,0.1,False,1699833600000
1593803,celestia,4.7,cosmostation,12,7868050329451.0,36979836548419.7,0.019972,0.05,False,1699833600000
1593804,celestia,4.7,cuck.,13,7290138165919.0,34263649379819.3,0.018505,0.05,False,1699833600000
1593805,celestia,4.7,popsteam,14,6266777478336.0,29453854148179.2,0.015908,0.05,False,1699833600000
1593806,celestia,4.7,xprv,15,5494199871374.0,25822739395457.8,0.013946,0.05,False,1699833600000
1593807,celestia,4.7,nodes.guru,16,5331094431402.0,25056143827589.4,0.013532,0.05,False,1699833600000
1593808,celestia,4.7,hextechnologies,17,5070247459312.0,23830163058766.4,0.01287,0.1,False,1699833600000
1593809,celestia,4.7,senggigi,18,5017021100688.0,23579999173233.6,0.012735,1.0,False,1699833600000
1593810,celestia,4.7,imperator.co,19,4929815877102.0,23170134622379.4,0.012514,0.05,False,1699833600000
1593811,celestia,4.7,binarybuilders,20,4216178063558.0,19816036898722.6,0.010702,0.05,False,1699833600000
1593812,celestia,4.7,stakingfacilities,21,4200013494707.0,19740063425122.902,0.010661,0.08,False,1699833600000
1593813,celestia,4.7,notional,22,4153558711521.0,19521725944148.7,0.010543,0.0969,False,1699833600000
1593814,celestia,4.7,nocturnallabs,23,4112404571999.0,19328301488395.3,0.010439,0.05,False,1699833600000
1593815,celestia,4.7,qubelabs,24,3921318290665.0,18430195966125.5,0.009954,0.05,False,1699833600000
1593816,celestia,4.7,polkachu.com,25,3806284509410.0,17889537194227.0,0.009662,0.05,False,1699833600000
1593817,celestia,4.7,ai,26,3443095313222.0,16182547972143.4,0.00874,0.05,False,1699833600000
1593818,celestia,4.7,zkvalidator,27,3320026603361.0,15604125035796.7,0.008428,0.1,False,1699833600000
1593819,celestia,4.7,upnode,28,3184343783409.0,14966415782022.3,0.008083,0.05,False,1699833600000
1593820,celestia,4.7,validatus,29,3042906795011.0,14301661936551.7,0.007724,0.05,False,1699833600000
1593821,celestia,4.7,keplr,30,3035843334492.0,14268463672112.4,0.007706,0.05,False,1699833600000
1593822,celestia,4.7,mzonder,31,3016806249486.0,14178989372584.2,0.007658,0.09,False,1699833600000
1593823,celestia,4.7,stakewithus,32,2883355658299.0,13551771594005.3,0.007319,0.05,False,1699833600000
1593824,celestia,4.7,baza,33,2748966623893.0,12920143132297.1,0.006978,0.05,False,1699833600000
1593825,celestia,4.7,blackblocks,34,2685972356494.0,12624070075521.8,0.006818,0.05,False,1699833600000
1593826,celestia,4.7,lavender.fivenodes,35,1653152563223.0,7769817047148.101,0.004196,0.05,False,1699833600000
1593827,celestia,4.7,alphab.ai,36,1606614584671.0,7551088547953.7,0.004078,0.05,False,1699833600000
1593828,celestia,4.7,stakecito,37,1588769973163.0,7467218873866.101,0.004033,0.05,False,1699833600000
1593829,celestia,4.7,easy2stake,38,1566675988818.0,7363377147444.601,0.003977,0.06,False,1699833600000
1593830,celestia,4.7,bharvest,39,1511580051778.0,7104426243356.601,0.003837,0.1,False,1699833600000
1593831,celestia,4.7,latamnodes,40,1439874533467.0,6767410307294.9,0.003655,0.05,False,1699833600000
1593832,celestia,4.7,gunter,41,1362736752247.0,6404862735560.9,0.003459,0.05,False,1699833600000
1593833,celestia,4.7,allnodes,42,1137669685959.0,5347047524007.3,0.002888,0.05,False,1699833600000
1593834,celestia,4.7,frens,43,1083527046485.0,5092577118479.5,0.00275,0.05,False,1699833600000
1593835,celestia,4.7,nakoturk,44,1073829521417.0,5046998750659.9,0.002726,0.05,False,1699833600000
1593836,celestia,4.7,kjnodes.com,45,1052977701105.0,4948995195193.5,0.002673,0.05,False,1699833600000
1593837,celestia,4.7,brightlystake,46,1048267961359.0,4926859418387.3,0.002661,0.05,False,1699833600000
1593838,celestia,4.7,cryptocrewvalidators,47,1043082858212.0,4902489433596.4,0.002648,0.05,False,1699833600000
1593839,celestia,4.7,everstake,48,909307630910.0,4273745865277.0,0.002308,0.1,False,1699833600000
1593840,celestia,4.7,nodeguardians,49,908299943279.0,4269009733411.3,0.002306,0.05,False,1699833600000
1593841,celestia,4.7,nodestake,50,889244832998.0,4179450715090.6,0.002257,0.05,False,1699833600000
1593842,celestia,4.7,forbole,51,871742620753.0,4097190317539.1,0.002213,0.05,False,1699833600000
1593843,celestia,4.7,enigma,52,799241097838.0,3756433159838.6,0.002029,0.05,False,1699833600000
1593844,celestia,4.7,stakelab,53,653124907656.0,3069687065983.2,0.001658,0.05,False,1699833600000
1593845,celestia,4.7,kiln,54,633444580609.0,2977189528862.3003,0.001608,0.08,False,1699833600000
1593846,celestia,4.7,stakin,55,591577874426.0,2780416009802.2,0.001502,0.05,False,1699833600000
1593847,celestia,4.7,w3.hitchhiker,56,588184036745.0,2764464972701.5,0.001493,0.05,False,1699833600000
1593848,celestia,4.7,larryengineer,57,578697149885.0,2719876604459.5,0.001469,0.05,False,1699833600000
1593849,celestia,4.7,swissstaking,58,562712079945.0,2644746775741.5,0.001428,0.05,False,1699833600000
1593850,celestia,4.7,bwarelabs,59,558902504147.0,2626841769490.9,0.001419,0.05,False,1699833600000
1593851,celestia,4.7,lemniscap,60,527560643234.0,2479535023199.8003,0.001339,0.05,False,1699833600000
1593852,celestia,4.7,nysa.network,61,526907276623.0,2476464200128.1,0.001338,0.07,False,1699833600000
1593853,celestia,4.7,01node,62,525219867320.0,2468533376404.0,0.001333,0.05,False,1699833600000
1593854,celestia,4.7,crosnest,63,520883462797.0,2448152275145.9,0.001322,0.05,False,1699833600000
1593855,celestia,4.7,blockdaemon,64,518036538051.0,2434771728839.7,0.001315,0.05,False,1699833600000
1593856,celestia,4.7,chainodetech,65,508272194744.0,2388879315296.8003,0.00129,0.05,False,1699833600000
1593857,celestia,4.7,freshstaking,66,490330298833.0,2304552404515.1,0.001245,0.05,False,1699833600000
1593858,celestia,4.7,moonlet,67,487447888039.0,2291005073783.3003,0.001237,0.05,False,1699833600000
1593859,celestia,4.7,meria,68,487325553293.0,2290430100477.1,0.001237,0.05,False,1699833600000
1593860,celestia,4.7,stakesquid,69,472909328419.0,2222673843569.3003,0.0012,0.06,False,1699833600000
1593861,celestia,4.7,stakely.io,70,457272670945.0,2149181553441.5,0.001161,0.05,False,1699833600000
1593862,celestia,4.7,wavefive,71,455594076798.0,2141292160950.6,0.001156,0.1,False,1699833600000
1593863,celestia,4.7,conqueror,72,448571734357.0,2108287151477.9,0.001139,0.05,False,1699833600000
1593864,celestia,4.7,validatrium.com,73,447666766980.0,2104033804806.0,0.001136,0.05,False,1699833600000
1593865,celestia,4.7,activenodes,74,444308854067.0,2088251614114.9,0.001128,0.05,False,1699833600000
1593866,celestia,4.7,cumulo,75,443293710065.0,2083480437305.5,0.001125,0.05,False,1699833600000
1593867,celestia,4.7,ryabina,76,442132924239.0,2078024743923.3,0.001122,0.05,False,1699833600000
1593868,celestia,4.7,staking4all,77,437469993513.0,2056108969511.1,0.00111,0.05,False,1699833600000
1593869,celestia,4.7,kingsuper,78,436222974901.0,2050247982034.7,0.001107,0.05,False,1699833600000
1593870,celestia,4.7,bitnordic,79,429960584082.0,2020814745185.4,0.001091,0.05,False,1699833600000
1593871,celestia,4.7,0xfury,80,427994564948.0,2011574455255.6,0.001086,0.08,False,1699833600000
1593872,celestia,4.7,stakingcabin,81,427851581316.0,2010902432185.2,0.001086,0.05,False,1699833600000
1593873,celestia,4.7,suntzu,82,426158940973.0,2002947022573.1,0.001082,0.08,False,1699833600000
1593874,celestia,4.7,neoprom,83,424726226730.0,1996213265631.0,0.001078,0.12,False,1699833600000
1593875,celestia,4.7,quantumcore,84,422535207022.0,1985915473003.4,0.001073,0.12,False,1699833600000
1593876,celestia,4.7,stakerspace,85,422505766142.0,1985777100867.4,0.001072,0.05,False,1699833600000
1593877,celestia,4.7,counterpoint,86,420907698925.0,1978266184947.5,0.001068,0.05,False,1699833600000
1593878,celestia,4.7,spidey,87,418021848154.0,1964702686323.8,0.001061,0.05,False,1699833600000
1593879,celestia,4.7,dsrv,88,417146063630.0,1960586499061.0,0.001059,0.1,False,1699833600000
1593880,celestia,4.7,maplenodes,89,416285989200.0,1956544149240.0,0.001057,0.08,False,1699833600000
1593881,celestia,4.7,neuler,90,415728437049.0,1953923654130.3,0.001055,0.12,False,1699833600000
1593882,celestia,4.7,contributiondao,91,415544680011.0,1953059996051.7,0.001055,0.1,False,1699833600000
1593883,celestia,4.7,staked,92,415043297122.0,1950703496473.4,0.001054,0.1,False,1699833600000
