,chain,chain_price,voter,rank,token,asset_value,voting_power,commission,jailed,record_time
2037148,coreum,0.098646,bitrue,1,26259350612809,2590379900551.1567,0.107311,0.01,False,1699833600000
2037149,coreum,0.098646,zenlounge,2,21957555565162,2166025026280.9707,0.089731,0.02,False,1699833600000
2037150,coreum,0.098646,cosmostation,3,20732131177442,2045141812129.9436,0.084723,0.05,False,1699833600000
2037151,coreum,0.098646,007coreum,4,17478391696943,1724173427336.6392,0.071427,0.005,False,1699833600000
2037152,coreum,0.098646,informalsystems,5,8538018468347,842241369828.5581,0.034891,0.05,False,1699833600000
2037153,coreum,0.098646,macyandfoster,6,8244580109646,813294849496.1393,0.033692,0.0025,False,1699833600000
2037154,coreum,0.098646,solonation,7,7971345649110,786341362902.105,0.032576,0.01,False,1699833600000
2037155,coreum,0.098646,stakewolle.com,8,7654790350904,755114448955.276,0.031282,0.05,False,1699833600000
2037156,coreum,0.098646,huobi,9,6259669567157,617491364121.7694,0.025581,0.1,False,1699833600000
2037157,coreum,0.098646,keyrock,10,5354699116529,528219649049.11975,0.021882,0.05,False,1699833600000
2037158,coreum,0.098646,airgap,11,5109374148783,504019322280.8478,0.02088,0.1,False,1699833600000
2037159,coreum,0.098646,goldsquad,12,5012147770089,494428328928.19946,0.020483,0.03,False,1699833600000
2037160,coreum,0.098646,citadel.one,13,4774264169481,470962063262.62274,0.01951,0.05,False,1699833600000
2037161,coreum,0.098646,krypton,14,4608817594722,454641420448.9464,0.018834,0.2,False,1699833600000
2037162,coreum,0.098646,allnodes,15,4375502077885,431625777975.0437,0.017881,0.05,False,1699833600000
2037163,coreum,0.098646,smartstake,16,4186953904709,413026254883.924,0.01711,0.05,False,1699833600000
2037164,coreum,0.098646,stakecito,17,4177778050301,412121093549.9924,0.017073,0.05,False,1699833600000
2037165,coreum,0.098646,stakelab,18,4138563019763,408252687647.5409,0.016913,0.05,False,1699833600000
2037166,coreum,0.098646,emerge,19,4003040341502,394883917527.8063,0.016359,0.2,False,1699833600000
2037167,coreum,0.098646,rizeearnwise,20,3994290690561,394020799461.0804,0.016323,0.05,False,1699833600000
2037168,coreum,0.098646,ecostake,21,3595397074111,354671539772.7537,0.014693,0.05,False,1699833600000
2037169,coreum,0.098646,synchrotron,22,3418617900886,337232981450.80035,0.01397,0.025,False,1699833600000
2037170,coreum,0.098646,bytestake,23,3413581348182,336736145672.76154,0.01395,0.0058899999999999,False,1699833600000
2037171,coreum,0.098646,coreheroes,24,3272271261988,322796470910.06824,0.013372,0.045,False,1699833600000
2037172,coreum,0.098646,ubikcapital,25,3198891483757,315557849306.693,0.013073,0.2,False,1699833600000
2037173,coreum,0.098646,01node,26,3193604160406,315036276007.4103,0.013051,0.05,False,1699833600000
2037174,coreum,0.098646,silknodes,27,3167598477113,312470919373.289,0.012945,0.05,False,1699833600000
2037175,coreum,0.098646,bharvest,28,3114957430186,307278090658.1282,0.01273,0.1,False,1699833600000
2037176,coreum,0.098646,hashquark,29,3088886035238,304706251832.08777,0.012623,0.1,False,1699833600000
2037177,coreum,0.098646,stakingcabin,30,3026067581834,298509462677.59674,0.012366,0.1,False,1699833600000
2037178,coreum,0.098646,omniflixnetwork,31,3025534939879,298456919679.30383,0.012364,0.05,False,1699833600000
2037179,coreum,0.098646,forbole,32,3025338628601,298437554356.97424,0.012363,0.1,False,1699833600000
2037180,coreum,0.098646,virtualhive,33,3022211000000,298129026306.0,0.01235,0.2,False,1699833600000
2037181,coreum,0.098646,dorafactorypgs,34,3020305000000,297941007030.0,0.012343,1.0,False,1699833600000
2037182,coreum,0.098646,frontier,35,3013354070000,297255325589.22,0.012314,0.1,False,1699833600000
2037183,coreum,0.098646,bumbalu,36,3000644758728,296001602869.4823,0.012262,0.03,False,1699833600000
2037184,coreum,0.098646,,53,2934810878128,289507353883.8147,0.011993,0.05,True,1699833600000
2037185,coreum,0.098646,coreumcommunitydao,37,2901668138122,286237955153.1828,0.011858,0.03,False,1699833600000
2037186,coreum,0.098646,driplabs,38,2635391409917,259970821022.67236,0.01077,0.015,False,1699833600000
2037187,coreum,0.098646,coreum.services,39,2578462330280,254354995032.80087,0.010537,0.04,False,1699833600000
2037188,coreum,0.098646,atomstaking,40,2037212048672,200962819753.2981,0.008325,0.1,False,1699833600000
2037189,coreum,0.098646,frens,41,2034927459793,200737454198.74023,0.008316,0.05,False,1699833600000
2037190,coreum,0.098646,xangle,42,2022020000000,199464184920.0,0.008263,0.2,False,1699833600000
2037191,coreum,0.098646,starforge,43,1612425642789,159059339958.5637,0.006589,0.05,False,1699833600000
2037192,coreum,0.098646,coreanons,44,1555624582490,153456142564.30853,0.006357,0.04,False,1699833600000
2037193,coreum,0.098646,goandpartners,45,1147350700446,113181557196.1961,0.004689,0.03,False,1699833600000
2037194,coreum,0.098646,zeeveinc.,46,459623103102,45339980628.59989,0.001878,0.01,False,1699833600000
2037195,coreum,0.098646,nodedepot,47,187122724000,18458908231.704,0.000765,0.0025,False,1699833600000
2037196,coreum,0.098646,muslimcommunity,53,25410000000,2506594860.0,0.000104,0.05,False,1699833600000
2037197,coreum,0.098646,notional,48,22142243759,2184243777.850314,9e-05,0.05,False,1699833600000
2037198,coreum,0.098646,astronode,53,22000000000,2170212000.0,9e-05,0.015,False,1699833600000
2037199,coreum,0.098646,smileylounge,49,20794009071,2051245818.8178656,8.5e-05,0.04,False,1699833600000
2037200,coreum,0.098646,interblockchainservices,50,20300000000,2002513800.0,8.3e-05,0.05,False,1699833600000
2037201,coreum,0.098646,bwarelabs,51,20102000000,1982981892.0,8.2e-05,0.1,False,1699833600000
2037202,coreum,0.098646,lumina,52,20000002669,1972920263.286174,8.2e-05,0.1,False,1699833600000
2037203,coreum,0.098646,,53,4798978499,473400033.012354,2e-05,0.2,True,1699833600000
2037204,coreum,0.098646,,53,1053583263,103931774.561898,4e-06,0.2,True,1699833600000
2037205,coreum,0.098646,,53,2010000,198278.46,0.0,0.2,True,1699833600000
2037206,coreum,0.098646,,53,1800000,177562.8,0.0,0.04,True,1699833600000
2037207,coreum,0.098646,,53,1000000,98646.0,0.0,0.005,True,1699833600000
2037208,coreum,0.098646,,53,802189,79132.73609399999,0.0,0.02,True,1699833600000
2037209,coreum,0.098646,,53,0,0.0,0.0,0.1,True,1699833600000
2037210,coreum,0.098646,,53,0,0.0,0.0,1.0,True,1699833600000
