,chain,chain_price,voter,rank,token,asset_value,voting_power,commission,jailed,record_time
7025558,nyx,0.176682,nodes.guru,1,1799415035000,317924247213.87,0.036355,0.05,False,1699833600000
7025559,nyx,0.176682,figment,2,1798057010000,317684308640.82,0.036328,0.1,False,1699833600000
7025560,nyx,0.176682,merak.run,3,1798054043360,317683784488.9315,0.036328,0.1,False,1699833600000
7025561,nyx,0.176682,swissstaking,4,1798054010000,317683778594.82,0.036328,0.05,False,1699833600000
7025562,nyx,0.176682,ezstaking.io,5,1798054001676,317683777124.119,0.036328,0.05,False,1699833600000
7025563,nyx,0.176682,greenfield,6,1798054000000,317683776828.0,0.036328,0.1,False,1699833600000
7025564,nyx,0.176682,p2p.org,7,1798053000100,317683600163.6682,0.036328,0.1,False,1699833600000
7025565,nyx,0.176682,commodum,8,1798053000000,317683600146.0,0.036328,0.05,False,1699833600000
7025566,nyx,0.176682,pathrocknetwork,9,1798052000000,317683423464.0,0.036328,0.1,False,1699833600000
7025567,nyx,0.176682,testnetrun,10,1798052000000,317683423464.0,0.036328,0.1,False,1699833600000
7025568,nyx,0.176682,tpt,11,1798048000000,317682716736.0,0.036328,0.1,False,1699833600000
7025569,nyx,0.176682,throbac,12,1798046025000,317682367789.05,0.036328,0.1,False,1699833600000
7025570,nyx,0.176682,blockfendgenesislabs,13,1788039099894,315914324247.47174,0.036126,0.05,False,1699833600000
7025571,nyx,0.176682,cosmostation,14,1769495149781,312637942053.6066,0.035751,0.1,False,1699833600000
7025572,nyx,0.176682,ai,15,1561390000000,275869507980.0,0.031546,0.05,False,1699833600000
7025573,nyx,0.176682,fairstaking,16,1556809995000,275060303536.59,0.031454,0.1,False,1699833600000
7025574,nyx,0.176682,provalidator,17,1554545110000,274660139125.02,0.031408,0.05,False,1699833600000
7025575,nyx,0.176682,hashquark,18,1546915000000,273312036030.0,0.031254,0.1,False,1699833600000
7025576,nyx,0.176682,lemniscap,19,1515098270000,267690592540.14,0.030611,0.1,False,1699833600000
7025577,nyx,0.176682,edenblock,20,1515084195000,267688105740.99,0.030611,0.1,False,1699833600000
7025578,nyx,0.176682,a16z,21,1515034285000,267679287542.37,0.03061,0.1,False,1699833600000
7025579,nyx,0.176682,nocturnallabs,22,1467666000000,259310164212.0,0.029653,0.1,False,1699833600000
7025580,nyx,0.176682,nodeguardians,23,1454760000152,257029906346.85568,0.029392,0.05,False,1699833600000
7025581,nyx,0.176682,vladiatorlabs.io,24,1424749000000,251727502818.0,0.028786,0.1,False,1699833600000
7025582,nyx,0.176682,,25,1402972050000,247879907738.1,0.028346,0.1,False,1699833600000
7025583,nyx,0.176682,,26,1320845000000,233369536290.0,0.026686,0.1,False,1699833600000
7025584,nyx,0.176682,forbole,27,1173733980000,207377667054.36,0.023714,0.1,False,1699833600000
7025585,nyx,0.176682,polychain,28,1154741980001,204022122510.53668,0.02333,0.2,False,1699833600000
7025586,nyx,0.176682,ping,29,1140040000000,201424547280.0,0.023033,0.1,False,1699833600000
7025587,nyx,0.176682,chorusone,30,957753580000,169217818021.56,0.01935,0.05,False,1699833600000
