,chain,chain_price,voter,rank,token,asset_value,voting_power,commission,jailed,record_time
7169403,onomy-protocol,0.102239,pendulum,1,9.894907297929217e+24,1.0116454272329848e+24,0.153286,0.05,False,1699833600000
7169404,onomy-protocol,0.102239,cosmostation,2,7.541180309129522e+24,7.710027336250932e+23,0.116823,0.05,False,1699833600000
7169405,onomy-protocol,0.102239,citadel.one,3,7.238972565145029e+24,7.401053160878626e+23,0.112142,0.05,False,1699833600000
7169406,onomy-protocol,0.102239,cosmos.holdings,4,7.050709405683043e+24,7.208574789276286e+23,0.109225,0.048,False,1699833600000
7169407,onomy-protocol,0.102239,cappuccinode,5,6.727020617517042e+24,6.877638609143248e+23,0.104211,0.05,False,1699833600000
7169408,onomy-protocol,0.102239,nomblocks.io,6,5.737957135961243e+24,5.866429996235415e+23,0.088889,0.048,False,1699833600000
7169409,onomy-protocol,0.102239,nomadic,7,5.170982427732477e+24,5.286760724289407e+23,0.080106,0.048,False,1699833600000
7169410,onomy-protocol,0.102239,defiscandinavia,8,4.4876598220496063e+24,4.588138525465297e+23,0.06952,0.044,False,1699833600000
7169411,onomy-protocol,0.102239,chorusone,9,3.4058474438174357e+24,3.4821043680845076e+23,0.052761,0.05,False,1699833600000
7169412,onomy-protocol,0.102239,jedi,10,2.82610963466465e+24,2.8893862293847913e+23,0.04378,0.05,False,1699833600000
7169413,onomy-protocol,0.102239,thetao,11,2.5440588023501957e+24,2.601020278934817e+23,0.039411,0.05,False,1699833600000
7169414,onomy-protocol,0.102239,ledgerbychorusone,12,1.9266433762158896e+24,1.9697809214093633e+23,0.029846,0.1,False,1699833600000
7169415,onomy-protocol,0.102239,,13,7.042486393436425e+20,7.200167663785467e+19,1.1e-05,1.0,True,1699833600000
7169416,onomy-protocol,0.102239,,13,2.192724868573603e+20,2.241819978380966e+19,3e-06,0.1,True,1699833600000
7169417,onomy-protocol,0.099037,pendulum,1,9.89407929004539e+24,9.798799306482252e+23,0.153038,0.05,False,1699790400000
7169418,onomy-protocol,0.099037,cosmostation,2,7.541065450493579e+24,7.468444990205326e+23,0.116642,0.05,False,1699790400000
7169419,onomy-protocol,0.099037,citadel.one,3,7.226637381906685e+24,7.157044863918923e+23,0.111779,0.05,False,1699790400000
7169420,onomy-protocol,0.099037,cosmos.holdings,4,7.050672405683044e+24,6.982774430416316e+23,0.109057,0.048,False,1699790400000
7169421,onomy-protocol,0.099037,cappuccinode,5,6.727016284917043e+24,6.662235118093292e+23,0.104051,0.05,False,1699790400000
7169422,onomy-protocol,0.099037,nomblocks.io,6,5.851529135961244e+24,5.795178910381937e+23,0.090509,0.048,False,1699790400000
7169423,onomy-protocol,0.099037,nomadic,7,5.170973710732477e+24,5.121177233898123e+23,0.079983,0.048,False,1699790400000
7169424,onomy-protocol,0.099037,defiscandinavia,8,4.4876588220496064e+24,4.444442667593269e+23,0.069413,0.044,False,1699790400000
7169425,onomy-protocol,0.099037,chorusone,9,3.4058474438174357e+24,3.3730491329334735e+23,0.05268,0.05,False,1699790400000
7169426,onomy-protocol,0.099037,jedi,10,2.8260896346646496e+24,2.798874391482829e+23,0.043713,0.05,False,1699790400000
7169427,onomy-protocol,0.099037,thetao,11,2.5440588023501957e+24,2.519559516083563e+23,0.03935,0.05,False,1699790400000
7169428,onomy-protocol,0.099037,ledgerbychorusone,12,1.9256539433158896e+24,1.9071098958417577e+23,0.029785,0.1,False,1699790400000
7169429,onomy-protocol,0.099037,,13,7.042486393436425e+20,6.974667249467633e+19,1.1e-05,1.0,True,1699790400000
7169430,onomy-protocol,0.099037,,13,2.96774167017005e+20,2.9391623178863124e+19,5e-06,0.1,True,1699790400000
7169431,onomy-protocol,0.097203,pendulum,1,9.894009409674309e+24,9.617273966485718e+23,0.153078,0.05,False,1699747200000
7169432,onomy-protocol,0.097203,cosmostation,2,7.540309144934246e+24,7.329406698150435e+23,0.116662,0.05,False,1699747200000
7169433,onomy-protocol,0.097203,citadel.one,3,7.226598561906685e+24,7.024470600130155e+23,0.111809,0.05,False,1699747200000
7169434,onomy-protocol,0.097203,cosmos.holdings,4,7.039957966868838e+24,6.843050342535517e+23,0.108921,0.048,False,1699747200000
7169435,onomy-protocol,0.097203,cappuccinode,5,6.727016284917043e+24,6.538861639427913e+23,0.104079,0.05,False,1699747200000
7169436,onomy-protocol,0.097203,nomblocks.io,6,5.846529135961243e+24,5.683001716028407e+23,0.090456,0.048,False,1699747200000
7169437,onomy-protocol,0.097203,nomadic,7,5.170577277995861e+24,5.0259562315303166e+23,0.079998,0.048,False,1699747200000
7169438,onomy-protocol,0.097203,defiscandinavia,8,4.487297469198598e+24,4.361787758985113e+23,0.069427,0.044,False,1699747200000
7169439,onomy-protocol,0.097203,chorusone,9,3.4056033258174356e+24,3.310348600794322e+23,0.052691,0.05,False,1699747200000
7169440,onomy-protocol,0.097203,jedi,10,2.8260896346646496e+24,2.747043907583079e+23,0.043725,0.05,False,1699747200000
7169441,onomy-protocol,0.097203,thetao,11,2.5440588023501957e+24,2.4729014776484607e+23,0.039361,0.05,False,1699747200000
7169442,onomy-protocol,0.097203,ledgerbychorusone,12,1.9256065433158896e+24,1.871747328299344e+23,0.029793,0.1,False,1699747200000
7169443,onomy-protocol,0.097203,,13,7.042486393436425e+20,6.8455080490120086e+19,1.1e-05,1.0,True,1699747200000
7169444,onomy-protocol,0.097203,,13,2.96774167017005e+20,2.8847339356553937e+19,5e-06,0.1,True,1699747200000
