,chain,chain_price,voter,rank,token,asset_value,voting_power,commission,jailed,record_time
8162319,quasar,0.04718603,polychain,1,74117704976480,3497320250551.3345,0.171431,0.2,False,1699833600000
8162320,quasar,0.04718603,kamari,2,73801052100000,3482378658422.1626,0.170699,1.0,False,1699833600000
8162321,quasar,0.04718603,lightshift,3,21433280995253,1011351440040.438,0.049574,0.05,False,1699833600000
8162322,quasar,0.04718603,polkachu.com,4,14968992844726,706327345441.0264,0.034623,0.05,False,1699833600000
8162323,quasar,0.04718603,cosmostation,5,14149825426198,667674087055.3416,0.032728,0.05,False,1699833600000
8162324,quasar,0.04718603,lavender.fivenodes,6,12758040846901,602001298143.096,0.029509,0.05,False,1699833600000
8162325,quasar,0.04718603,binarybuilders,7,12275409808934,579227855506.6539,0.028392,0.05,False,1699833600000
8162326,quasar,0.04718603,whispernode,8,11652046886012,549813833924.7688,0.026951,0.05,False,1699833600000
8162327,quasar,0.04718603,provalidator,9,11466765411966,541071136731.99,0.026522,0.05,False,1699833600000
8162328,quasar,0.04718603,notional,10,11458123426436,540663355743.51184,0.026502,0.05,False,1699833600000
8162329,quasar,0.04718603,stakely.io,11,11039505326044,520910429499.87195,0.025534,0.05,False,1699833600000
8162330,quasar,0.04718603,imperator.co,12,10792101218935,509236411879.7034,0.024962,0.05,False,1699833600000
8162331,quasar,0.04718603,frens,13,10731583309242,506380811977.3923,0.024822,0.05,False,1699833600000
8162332,quasar,0.04718603,stakecito,14,10682962012294,504086566000.965,0.024709,0.05,False,1699833600000
8162333,quasar,0.04718603,allnodes,15,10342416358321,488017568556.2254,0.023922,0.05,False,1699833600000
8162334,quasar,0.04718603,forbole,16,10329336911362,487400401379.63464,0.023891,0.05,False,1699833600000
8162335,quasar,0.04718603,kjnodes.com,17,10290414507039,485563807641.57745,0.023801,0.05,False,1699833600000
8162336,quasar,0.04718603,citadel.one,18,10011181139494,472387893583.598,0.023155,0.05,False,1699833600000
8162337,quasar,0.04718603,swissstaking,19,9866044503808,465539471938.01935,0.02282,0.05,False,1699833600000
8162338,quasar,0.04718603,rhino,20,9669446217282,456262779292.05493,0.022365,0.05,False,1699833600000
8162339,quasar,0.04718603,stakerelax,21,9646195059156,455165649447.1868,0.022311,0.05,False,1699833600000
8162340,quasar,0.04718603,whitewhale,22,9502282246991,448374975174.9847,0.021978,0.05,False,1699833600000
8162341,quasar,0.04718603,dankuzonewdaic,23,9450508279618,445931967197.3033,0.021859,0.05,False,1699833600000
8162342,quasar,0.04718603,01node,24,9399180218667,443509999773.4276,0.02174,0.05,False,1699833600000
8162343,quasar,0.04718603,keplr,25,9389561886267,443056148852.2512,0.021718,0.1,False,1699833600000
8162344,quasar,0.04718603,enigma,26,9373118757937,442280262905.578,0.02168,0.05,False,1699833600000
8162345,quasar,0.04718603,defidojovalidation,27,5525572793610,260729843606.46524,0.01278,0.05,False,1699833600000
8162346,quasar,0.04718603,0for2023,28,3327864468158,157028712630.4374,0.007697,0.0,False,1699833600000
8162347,quasar,0.04718603,autostake,29,3000468490963,141580196228.63483,0.00694,0.0,False,1699833600000
8162348,quasar,0.04718603,witval,30,727940000000,34348598678.199997,0.001684,0.1,False,1699833600000
8162349,quasar,0.04718603,nosnode,31,234899285544,11083964734.65775,0.000543,0.05,False,1699833600000
8162350,quasar,0.04718603,kitkat,32,128972639711,6085706846.582437,0.000298,0.0,False,1699833600000
8162351,quasar,0.04718603,sphincsplus,33,108601799225,5124487756.284826,0.000251,0.05,False,1699833600000
8162352,quasar,0.04718603,quantnode,34,103011951537,4860725035.583427,0.000238,0.05,False,1699833600000
8162353,quasar,0.04718603,loremipsum,35,92500000001,4364707775.047186,0.000214,0.05,False,1699833600000
8162354,quasar,0.04718603,nodexemperor,36,87213924426,4115278854.382968,0.000202,0.01,False,1699833600000
8162355,quasar,0.04718603,cosmosspaces,37,82885585193,3911041709.4844537,0.000192,0.05,False,1699833600000
8162356,quasar,0.04718603,genznodes,38,76339215768,3602144525.4053206,0.000177,0.03,False,1699833600000
8162357,quasar,0.04718603,nuxianlabs,39,65314949419,3081953162.733417,0.000151,0.05,False,1699833600000
8162358,quasar,0.04718603,chaintools,40,50747554198,2394575614.8134537,0.000117,0.05,False,1699833600000
8162359,quasar,0.04718603,kleomedes,41,35029861508,1652920096.0123332,8.1e-05,0.05,False,1699833600000
8162360,quasar,0.04718603,staketown,42,25703000000,1212822529.09,5.9e-05,0.05,False,1699833600000
8162361,quasar,0.04718603,blacklodge,43,23459042071,1106939062.933468,5.4e-05,0.0,False,1699833600000
8162362,quasar,0.04718603,validavia,44,15073917010,711278300.2513703,3.5e-05,0.05,False,1699833600000
8162363,quasar,0.04718603,goatv,45,7514840000,354595465.6852,1.7e-05,0.03,False,1699833600000
8162364,quasar,0.04718603,noderunners,46,7054000000,332850255.62,1.6e-05,0.05,False,1699833600000
8162365,quasar,0.04718603,cryptolion,47,6678533457,315133480.0580057,1.5e-05,0.05,False,1699833600000
8162366,quasar,0.04718603,seasting,48,6304000000,297460733.12,1.5e-05,0.1,False,1699833600000
8162367,quasar,0.04718603,,49,5774777202,272488810.29688805,1.3e-05,0.0,False,1699833600000
