,chain,chain_price,voter,rank,token,asset_value,voting_power,commission,jailed,record_time
9005185,sei,0.132515,kingnodes,1,336746549578085,44623969017339.93,0.058675,0.05,False,1699833600000
9005186,sei,0.132515,hypeinfra,2,307960230942873,40809350003394.81,0.053659,0.05,False,1699833600000
9005187,sei,0.132515,sei0,3,298598687849736,39568805120407.766,0.052028,0.05,False,1699833600000
9005188,sei,0.132515,sei1,4,298360667837239,39537263898451.73,0.051987,0.05,False,1699833600000
9005189,sei,0.132515,notional,5,236947979292693,31399161475971.21,0.041286,0.05,False,1699833600000
9005190,sei,0.132515,figment,6,221028363260357,29289573557446.207,0.038512,0.33,False,1699833600000
9005191,sei,0.132515,contributiondao,7,213568187050663,28300988307018.605,0.037212,0.05,False,1699833600000
9005192,sei,0.132515,anchoragedigital,8,211417217833038,28015952621145.027,0.036838,0.055,False,1699833600000
9005193,sei,0.132515,dorafactory,9,208293143948489,27601965970334.02,0.036293,0.05,False,1699833600000
9005194,sei,0.132515,rhino,10,193882970260253,25692401804037.426,0.033782,0.05,False,1699833600000
9005195,sei,0.132515,chorusone,11,186763332664959,24748943028097.04,0.032542,0.05,False,1699833600000
9005196,sei,0.132515,a41,12,169680968673056,22485273563710.016,0.029565,0.05,False,1699833600000
9005197,sei,0.132515,brochain,13,152423385582032,20198384940402.97,0.026558,0.05,False,1699833600000
9005198,sei,0.132515,flipside,14,150486248783103,19941685257492.895,0.026221,0.2,False,1699833600000
9005199,sei,0.132515,everstake,15,141069389033714,18693810087802.61,0.02458,0.05,False,1699833600000
9005200,sei,0.132515,crosnest,16,140112564644123,18567016503815.957,0.024413,0.05,False,1699833600000
9005201,sei,0.132515,manticore,17,138938677711888,18411458876990.836,0.024209,0.05,False,1699833600000
9005202,sei,0.132515,polkachu.com,18,132645431072734,17577509298603.346,0.023112,0.05,False,1699833600000
9005203,sei,0.132515,shinlabs,19,113379344612651,15024463851345.447,0.019755,0.05,False,1699833600000
