,chain,chain_price,voter,rank,token,asset_value,voting_power,commission,jailed,record_time
9535887,stafi,0.346589,cosmostation,1,270005000000,93580762945.0,0.090004,0.05,False,1699833600000
9535888,stafi,0.346589,chihuahua,2,220001000000,76249926589.0,0.073335,0.1,False,1699833600000
9535889,stafi,0.346589,stakewithus,3,210004000000,72785076356.0,0.070003,0.05,False,1699833600000
9535890,stafi,0.346589,forbole,4,200004500000,69319359650.5,0.06667,0.1,False,1699833600000
9535891,stafi,0.346589,easy2stake,5,200003000000,69318839767.0,0.066669,0.05,False,1699833600000
9535892,stafi,0.346589,stafifoundation1,6,200001000000,69318146589.0,0.066668,0.1,False,1699833600000
9535893,stafi,0.346589,irisnet,7,200001000000,69318146589.0,0.066668,0.1,False,1699833600000
9535894,stafi,0.346589,stakelab,8,200001000000,69318146589.0,0.066668,0.1,False,1699833600000
9535895,stafi,0.346589,nodejumper,9,200001000000,69318146589.0,0.066668,0.1,False,1699833600000
9535896,stafi,0.346589,citadel.one,10,200001000000,69318146589.0,0.066668,0.05,False,1699833600000
9535897,stafi,0.346589,stafifoundation3,11,199980999900,69311214774.3411,0.066662,0.1,False,1699833600000
9535898,stafi,0.346589,stafifoundation2,12,199961001900,69304283687.51909,0.066655,0.1,False,1699833600000
9535899,stafi,0.346589,wetez,13,199961001900,69304283687.51909,0.066655,0.1,False,1699833600000
9535900,stafi,0.346589,stakingcabin,14,150009500000,51991642595.5,0.050004,0.1,False,1699833600000
9535901,stafi,0.346589,nodestake,15,150001000000,51988696589.0,0.050001,0.1,False,1699833600000
9535902,stafi,0.33732,cosmostation,1,270005000000,91078086600.0,0.090004,0.05,False,1699790400000
9535903,stafi,0.33732,chihuahua,2,220001000000,74210737320.0,0.073335,0.1,False,1699790400000
9535904,stafi,0.33732,stakewithus,3,210004000000,70838549280.0,0.070003,0.05,False,1699790400000
9535905,stafi,0.33732,forbole,4,200004500000,67465517940.0,0.06667,0.1,False,1699790400000
9535906,stafi,0.33732,easy2stake,5,200003000000,67465011960.0,0.066669,0.05,False,1699790400000
9535907,stafi,0.33732,stafifoundation1,6,200001000000,67464337320.0,0.066668,0.1,False,1699790400000
9535908,stafi,0.33732,irisnet,7,200001000000,67464337320.0,0.066668,0.1,False,1699790400000
9535909,stafi,0.33732,stakelab,8,200001000000,67464337320.0,0.066668,0.1,False,1699790400000
9535910,stafi,0.33732,nodejumper,9,200001000000,67464337320.0,0.066668,0.1,False,1699790400000
9535911,stafi,0.33732,citadel.one,10,200001000000,67464337320.0,0.066668,0.05,False,1699790400000
