,chain,chain_price,voter,rank,token,asset_value,voting_power,commission,jailed,record_time
10420170,terra,0.793263,spacehall,1,27221993300219,21594200071311.625,0.056354,0.0,False,1699833600000
10420171,terra,0.793263,orbitalcommand,2,13162398377464,10441243624102.229,0.027248,0.07,False,1699833600000
10420172,terra,0.793263,coinhall.org,3,13149844722245,10431285273902.236,0.027222,0.05,False,1699833600000
10420173,terra,0.793263,smartstake,4,12634059458484,10022131908215.396,0.026154,0.05,False,1699833600000
10420174,terra,0.793263,kucoinlunanode,5,10958580261384,8693036253886.257,0.022686,0.05,False,1699833600000
10420175,terra,0.793263,tcbthormaximalist,6,9691820217366,7688162381088.405,0.020064,0.05,False,1699833600000
10420176,terra,0.793263,wildsage0all2023,7,7979548408630,6329880509275.061,0.016519,0.0,False,1699833600000
10420177,terra,0.793263,allnodes,8,7664461957820,6079934086046.167,0.015867,0.0,False,1699833600000
10420178,terra,0.793263,01node,9,7458431431410,5916497692574.591,0.01544,0.05,False,1699833600000
10420179,terra,0.793263,iss,10,7122619255096,5650110318155.219,0.014745,0.04,False,1699833600000
10420180,terra,0.793263,aardvark,11,6510023971132,5164161145412.084,0.013477,0.04,False,1699833600000
10420181,terra,0.793263,inotel,12,6495116024089,5152335222616.913,0.013446,0.1,False,1699833600000
10420182,terra,0.793263,terrascope,13,6235821986570,4946646856532.479,0.012909,0.05,False,1699833600000
10420183,terra,0.793263,thenftproject,14,6183062198715,4904794468939.258,0.0128,1.0,False,1699833600000
10420184,terra,0.793263,galacticpunksvalidator,15,6155626070629,4883030403665.373,0.012743,0.05,False,1699833600000
10420185,terra,0.793263,polkachu.com,16,5840263530474,4632864968974.396,0.01209,0.05,False,1699833600000
10420186,terra,0.793263,interstellarlounge,17,5763234839858,4571760958770.277,0.011931,0.05,False,1699833600000
10420187,terra,0.793263,dankuzonewdaic,18,5747506741318,4559284440138.141,0.011898,0.05,False,1699833600000
10420188,terra,0.793263,syncnode,19,5744975949137,4557276856340.265,0.011893,0.1,False,1699833600000
