,chain,voter,rank,chain_price,val_num,token,delegator,voting_power,n_participation,n_match,n_pass,total_proposal,p_participation,p_passed,p_matchproposal,missblock,jailed_ratio,commission,commission_variance,asset_value,asset_variance,day,max_day,n_outlier,total_chain,total_av,proportion_av
0,akash,kavalabs,1.0,1.049,93,16300489787519.0,6744,0.117119,14.0,14.0,13.0,59.0,0.2372881355932203,0.9285714285714286,0.2372881355932203,1,0.0,0.05,0.01662771271436569,17099213787107.43,5.0739270724862473e+48,1143.0,1143.0,5,1,17099213787107.43,1.0
1,akash,forbole,2.0,1.049,93,8569481861496.0,7386,0.061571,48.0,45.0,35.0,59.0,0.8135593220338984,0.7291666666666666,0.7627118644067796,0,0.0,0.05,0.01662771271436569,8989386472709.303,5.0739270724862473e+48,1143.0,1143.0,8,37,6.33895591848842e+24,1.418117839641469e-12
2,akash,jormungand,3.0,1.049,93,7836798643711.0,4064,0.056307,25.0,25.0,21.0,59.0,0.423728813559322,0.84,0.423728813559322,0,0.0,0.05,0.01662771271436569,8220801777252.839,5.0739270724862473e+48,1143.0,1143.0,11,1,8220801777252.839,1.0
3,akash,chandrastation,4.0,1.049,93,6568640954110.0,3396,0.047196,39.0,35.0,30.0,59.0,0.6610169491525424,0.7692307692307693,0.5932203389830508,1,0.0,0.05,0.01662771271436569,6890504360861.39,5.0739270724862473e+48,1143.0,1143.0,10,8,2.4045391410570505e+24,2.8656237044377163e-12
4,akash,allnodes,5.0,1.049,93,5133654591201.0,1235,0.036885,19.0,14.0,12.0,59.0,0.3220338983050847,0.631578947368421,0.2372881355932203,0,0.0,0.05,0.01662771271436569,5385203666169.849,5.0739270724862473e+48,458.0,1143.0,5,28,1.2584542067422522e+25,4.2792209977274193e-13
5,akash,sikka,6.0,1.049,93,4254668110510.0,1826,0.03057,8.0,7.0,7.0,59.0,0.135593220338983,0.875,0.1186440677966101,1,0.0,0.05,0.01662771271436569,4463146847924.989,5.0739270724862473e+48,1143.0,1143.0,8,3,65269711438531.84,0.06838006097404284
6,akash,cosmostation,7.0,1.049,93,4083711449041.0,2436,0.029341,54.0,47.0,39.0,59.0,0.9152542372881356,0.7222222222222222,0.7966101694915254,4,0.0,0.05,0.01662771271436569,4283813310044.009,5.0739270724862473e+48,1143.0,1143.0,10,53,2.1860692526959946e+25,1.959596341589338e-13
7,akash,trgc,8.0,1.049,93,3855409899080.0,145,0.027701,28.0,26.0,23.0,59.0,0.4745762711864407,0.8214285714285714,0.4406779661016949,2,0.0,0.1,0.01662771271436569,4044324984134.92,5.0739270724862473e+48,814.0,1143.0,2,5,4829768944537.663,0.8373744232027789
8,akash,imperator.co,9.0,1.049,93,3372094401689.0,1970,0.024228,50.0,39.0,31.0,59.0,0.847457627118644,0.62,0.6610169491525424,0,0.0,0.05,0.01662771271436569,3537327027371.7607,5.0739270724862473e+48,864.0,1143.0,2,33,3.0500922157827406e+25,1.1597442887358676e-13
9,akash,polkachu.com,10.0,1.049,93,3141214661370.0,1235,0.02257,45.0,44.0,33.0,59.0,0.7627118644067796,0.7333333333333333,0.7457627118644068,0,0.0,0.05,0.01662771271436569,3295134179777.13,5.0739270724862473e+48,678.0,1143.0,4,39,4.622064076386832e+25,7.129139980147155e-14
